entry_num,dance_name,division,style,group_size,studio,time
202,Breathe,Senior,Lyrical,Solo,LA Dance Space,7:13
203,Sunburn,Senior,Lyrical,Solo,"Dance Connection Center, LLC",7:16
204,The Letting Go,Senior,Lyrical,Solo,Sheffield School of the Dance,7:18
205,Chibi,Senior,Open,Solo,Northshore Academy of Dance,7:21
206,Endangered,Senior,Open,Solo,Bishop Dance Species,7:23
207,No More I Love,Senior,Open,Solo,Evolve Studio For You's The Arts,7:25
208,Can't Take My,Senior,Open,Solo,"Dance Connection Eyes Off Of You Center, LLC",7:28
209,Loved By You,Senior,Open,Solo,elite dance force,7:30
210,Roxie,Senior,,Solo,elite dance force Theatre,7:32
211,Lola,Senior,,Solo,Broadway South Theatre Dance,7:34
212,How You'll Be,Senior,Contemporary,Duo/Trio,LA Dance Space Remembered,7:47
213,Good Goodbye,Senior,Contemporary,Duo/Trio,"Dance Connection Center, LLC",7:50
214,Medicine,Senior,Contemporary,Duo/Trio,Northshore Academy of Dance,7:53
215,Walking Far,Senior,Contemporary,Duo/Trio,Lemoine Academy of Dance,7:57
216,Embers,Senior,Contemporary,Duo/Trio,LA Dance Space,8:00
217,Hold Tight,Senior,Contemporary,Duo/Trio,"Dance Connection Center, LLC",8:03
218,Dueling Banjos,Junior,Open,,Large Revolution Dance Group Company,2:30
219,Bring Me Home,Mini,Lyrical,,Large Broadway South Group Dance,2:33
220,Highs And Lows,Mini,Jazz,Production,Lemoine Academy of Dance,2:36
221,Fergalicious,Junior,Hip Hop,,Large The Pointe Dance Group Arts,2:39
222,Nearly Morning,Junior,Contemporary,,Large Lemoine Academy Group of Dance,2:42
223,Bigger Then Sky,Junior,Contemporary,,Small elite dance force Group,2:46
224,Paper Airplanes,Junior,Open,,Small Pembo Cieutat Group Academy of Dance,2:48
225,Bow Down,Junior,Hip Hop,,"Large Dance Connection Group Center, LLC",2:52
226,Yo Yo Disco,Junior,Jazz,,Small Jill Listi Dance Group Studio,2:55
227,Way Out,Junior,Contemporary,,Small Northshore Group Academy of Dance,2:58
228,If This Is Love,Junior,Lyrical,,Large Revolution Dance Group Company,3:00
229,Microphone,Mini,Jazz,,Large Broadway South Group Dance,3:04
230,In Other Words,Junior,Contemporary,,Small Lemoine Academy Group of Dance,3:07
231,If I Didn't Have,Junior,Contemporary,,Large The Pointe Dance You Group Arts,3:10
232,Move,Mini,Jazz,,Large Lemoine Academy Group of Dance,3:13
233,When You're,Mini,Tap,,Small Revolution Dance Smiling Group Company,3:16
234,That's Life,Junior,Contemporary,,Small Lemoine Academy Group of Dance,3:18
235,Open Hands,Junior,Lyrical,,Small elite dance force Group,3:22
236,Love Me,Junior,Contemporary,,Small Lemoine Academy Group of Dance,3:24
237,Watch Me Work,Junior,Jazz,,Small Pembo Cieutat Group Academy of Dance,3:28
238,Run The World,Junior,Tap,,Large Revolution Dance Group Company,3:30
239,Take A Sip,Junior,,Line,Broadway South Theatre Dance,3:34
240,Simply The Best,Junior,Open,,Large Lemoine Academy Group of Dance,3:38
241,Saturday Night's,Mini,Jazz,,Large The Pointe Dance Alright Group Arts,3:41
242,This Year's Love,Junior,Lyrical,,Small Lemoine Academy Group of Dance,3:43
243,Arms Of An,Junior,Lyrical,,Small Jill Listi Dance Angel Group Studio,3:46
244,Dog Days,Mini,Lyrical,,Small Lemoine Academy Group of Dance,3:50
245,Le Jazz Hot,Junior,,,Musical Small Northshore Theatre Group Academy of Dance,3:53
246,Who I Am,Junior,Lyrical,,"Small Dance Warehouse, Group Inc.",3:56
247,Hide & Seek,Junior,Contemporary,,"Small Dance Connection Group Center, LLC",3:58
248,Supercalifragilisti,Junior,,,Musical Large Revolution Dance cexpialidocious Theatre Group Company,4:01
249,Heaven I Know,Junior,Contemporary,,Small Broadway South Group Dance,4:14
250,MIA,Junior,Contemporary,,Small Revolution Dance Group Company,4:17
251,Fabulous,Mini,Jazz,,Small The Pointe Dance Group Arts,4:19
252,Groove Is In The,Junior,Jazz,,Small The Pointe Dance Heart Group Arts,4:22
253,Watch This,Mini,Jazz,,Small Jill Listi Dance Group Studio,4:25
254,Ay Carumba,Mini,,,Musical Small elite dance force Theatre Group,4:30
255,Hound Dog,Mini,Jazz,,Large Lemoine Academy Group of Dance,4:33
256,See It Now,Mini,Lyrical,,Small Broadway South Group Dance,4:35
257,Girlz,Junior,Jazz,,"Small Dance Warehouse, Group Inc.",4:38
258,Dream Lover,Mini,Jazz,,"Small Dance Warehouse, Group Inc.",4:41
259,We'll Be,Junior,Contemporary,,Small Revolution Dance Overcome Group Company,4:43
260,Girls Night Out,Mini,Jazz,,Large Broadway South Group Dance,4:46
261,Get To It,Junior,Jazz,,Small elite dance force Group,4:49
262,We Begin,Junior,Lyrical,,Small Broadway South Group Dance,4:52
263,Up,Teen,Hip Hop,Line,Broadway South Dance,6:05
264,Jungle,Teen,Hip Hop,,Large The Pointe Dance Group Arts,6:09
265,SexyBack,Teen,Jazz,,Large Revolution Dance Group Company,6:12
266,Don't Mean A,Teen,Jazz,,"Large Dance Warehouse, Thing Group Inc.",6:15
267,Swing,Teen,Jazz,,Large Northshore Group Academy of Dance,6:19
268,Busy in the Lab,Teen,Hip Hop,Production,Jill Listi Dance Studio,6:22
269,Reppin 985,Teen,Hip Hop,Production,Lemoine Academy of Dance,6:30
270,Zombie,Teen,Open,,Small elite dance force Group,6:34
271,Moderation,Senior,Jazz,,Small LA Dance Space Group,6:36
272,Short Skirt Long,Teen,Jazz,,"Small Dance Connection Jacket Group Center, LLC",6:40
273,Ghost Town,Teen,Lyrical,,Large Broadway South Group Dance,6:42
274,Good To Mama,Teen,,,Musical Large Revolution Dance Theatre Group Company,6:45
275,Motown,Teen,Jazz,Line,"Dance Warehouse, Inc.",6:49
276,Glide,Teen,Open,,Large Northshore Group Academy of Dance,6:54
277,The Way That,Teen,Jazz,Production,The Pointe Dance You Love Me Arts,6:57
278,Punk Rockher,Teen,Jazz,Production,Jill Listi Dance Studio,7:01
279,To Love Another,Senior,Contemporary,,Small Lemoine Academy Group of Dance,7:06
280,Are you Ready,Teen,Open,,Large elite dance force Group,7:10
281,The Boxer,Teen,Contemporary,,Small Broadway South Group Dance,7:13
282,Moon River,Teen,Lyrical,,Small LA Dance Space Group,7:16
283,Will You,Senior,Contemporary,,"Large Dance Connection Group Center, LLC",7:20
284,Get Free,Senior,Contemporary,,Large Revolution Dance Group Company,7:23
